Player hand;2;3;4;5;6;7;8;9;10;11
11;SP;SP;SP;SP;SP;SP;SP;SP;SP;SP
10;S;S;S;S;S;S;S;S;S;S
9;SP;SP;SP;SP;SP;S;SP;SP;S;S
8;SP;SP;SP;SP;SP;SP;SP;SP;SP;SP
7;SP;SP;SP;SP;SP;SP;H;H;H;H
6;SP;SP;SP;SP;SP;H;H;H;H;H
5;DD;DD;DD;DD;DD;DD;DD;DD;H;H
4;H;H;H;SP;SP;H;H;H;H;H
3;SP;SP;SP;SP;SP;SP;H;H;H;H
2;SP;SP;SP;SP;SP;SP;H;H;H;H
