Player hand;2;3;4;5;6;7;8;9;10;11
21;S;S;S;S;S;S;S;S;S;S
20;S;S;S;S;S;S;S;S;S;S
19;S;S;S;S;DD;S;S;S;S;S
18;DD;DD;DD;DD;DD;S;S;H;H;H
17;H;DD;DD;DD;DD;H;H;H;H;H
16;H;H;DD;DD;DD;H;H;H;H;H
15;H;H;DD;DD;DD;H;H;H;H;H
14;H;H;H;DD;DD;H;H;H;H;H
13;H;H;H;DD;DD;H;H;H;H;H
